,TrialID,ObsNum,IsAlert,P1,P2,P3,P4,P5,P6,P7,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,V1,V2,V3,V4,V5,V6,V8,V10,V11
TrialID,1.0,-0.0001623758155449295,-0.14581595296488886,0.016771569196383302,-0.004472536254880358,0.00036898957601596937,0.001879647487695847,0.022631709780794755,0.00537707539337924,0.11190297089532157,-0.06188136046819202,0.015610294437236352,-0.08707133622061737,-0.050151373433085726,0.23452409815865108,-0.0344182852744817,-0.11691855953693082,-0.0954340086351225,0.11698838022224972,-0.10052084976858817,0.07367583598004585,-0.11772805272486625,0.0650632860795147,0.0018995409763262502,-0.07431982782780029,0.12372071710436189,-0.09738919538286124,-0.04759250042075844,-0.09381809495894812,0.07888689356537856
ObsNum,-0.0001623758155449295,1.0,-0.005142890923649896,0.018324328167381033,-0.0017635101241540692,0.0021989233311448665,-0.0011907764279312338,0.005568441962644508,-0.01579126247829071,0.0034978142599757693,-0.00012176878343160812,-0.003557876266740439,0.002931479416039089,-0.004580320849993519,0.010313559431009558,-0.0038375843110651626,0.0020045211421298704,0.00940041180354888,-0.0027791190465073527,-0.008683523568112604,0.004978183221168049,0.004241823448269361,0.01900910692659861,0.007753196183839635,-0.0004803900948526274,-0.006284373888632002,0.003934539853365517,0.008190841179672632,0.005145481485699726,-0.011464722239735988
IsAlert,-0.14581595296488886,-0.005142890923649896,1.0,0.018361327510621164,0.014383462940522607,0.005167867220692418,-0.008176893205224694,0.03816030647722036,-0.00039953292459693143,0.18979573564096233,-0.16082984327827662,-0.10549453086576598,0.15797266565538365,0.047992220444869935,-0.06745292795870929,-0.1891978673437089,-0.3297216784513879,-0.2834396158996142,0.38035253000113456,-0.06705145034736017,0.07900244044107622,-0.269966521893559,-0.05073959555553021,-0.0620000250933506,0.09702216011916244,0.05542893224922772,-0.2441501139353469,-0.16554998852332173,-0.25960724337549596,0.15572172956245112
P1,0.016771569196383302,0.018324328167381033,0.018361327510621164,1.0,-0.00667364175583162,-0.010316800635457238,0.011704441470248008,0.010910670759720428,0.0454293310083702,0.027460655915444058,-0.01543563957251242,-0.009356201600941022,0.024131279998062267,-0.010573879253362332,-0.006564490112324364,-0.004635077523715538,-0.013194013146875991,-0.010918475362219376,0.004687677985898121,0.004549062020687864,0.015882331700766358,-0.025762513535110238,-0.02111765513076039,0.0025508995468639475,0.02140426353060837,0.05134800951255312,-0.019792197437858032,-0.029747221893120544,-0.004563369311053981,0.3446364343703233
P2,-0.004472536254880358,-0.0017635101241540692,0.014383462940522607,-0.00667364175583162,1.0,-0.0025390372342164406,0.0021319911446364783,0.008390220073324975,-0.02200329997240045,0.052171246032661975,-0.012045130613042953,-0.019121432293277747,0.06207594918367824,0.003528862537237247,-0.00513962030521994,-0.006842851902295941,-0.0020583665173892133,0.002919987380493838,0.002266323647412892,0.014588595065135792,0.001856722485975169,0.011310353425312536,0.0017788300153434924,0.002271773853261428,-0.006038271673918212,-0.023901764033215814,0.010608319665165648,0.008257078053312546,0.0019463856018424827,-0.034247623119693114
P3,0.00036898957601596937,0.0021989233311448665,0.005167867220692418,-0.010316800635457238,-0.0025390372342164406,1.0,-0.9444350560761298,0.03512916553652812,0.01244363439115021,-0.0060971428812689205,0.005794695522958925,0.013006517844915357,-0.01643689985595406,0.0005147563606800697,0.004496238211659377,-0.00450832420775205,-0.014085799942284665,-0.014135336211306393,0.01811288116958757,-0.013288734783115612,0.007423320283147218,-0.011347448943939324,0.008651420555635848,-0.006379644645821498,0.013044546151480372,0.0013124200317246827,-0.01024520300423202,-0.007962787125861329,-0.009629502124897958,-0.00980843585763513
P4,0.001879647487695847,-0.0011907764279312338,-0.008176893205224694,0.011704441470248008,0.0021319911446364783,-0.9444350560761298,1.0,-0.03289673177869838,-0.010627120035304336,0.007323305520735991,-0.0048704809998289,-0.010748958648840424,0.010696469195888887,0.0015795110691100094,-0.003085847653519498,0.004229957839495951,0.013755472751085799,0.012958781082216772,-0.016614565169862695,0.0105009368924407,-0.005681429675485528,0.010060727235827101,-0.006925889362005171,0.008048512927078325,-0.010905431761808816,0.0017052230744424787,0.008347876981263344,0.005378515332780862,0.008906013377735039,0.009840714528264065
P5,0.022631709780794755,0.005568441962644508,0.03816030647722036,0.010910670759720428,0.008390220073324975,0.03512916553652812,-0.03289673177869838,1.0,0.0023139220850514606,-0.02362837971161444,-0.06295538574161612,-0.03341998048693718,0.06944357575907718,-0.0027571629065243457,-0.020217909990463287,-0.006386853636821077,-0.032576448808938764,-0.04855148540905388,0.005176956914120389,-0.07475289466792355,0.028216477185258573,-0.05442813110016362,0.026232495150182614,0.005371091607139996,0.07028968416335367,-0.01667065273809068,-0.046352635289358936,-0.023359285231020103,-0.02219265767074288,-0.004896526312361685
P6,0.00537707539337924,-0.01579126247829071,-0.00039953292459693143,0.0454293310083702,-0.02200329997240045,0.01244363439115021,-0.010627120035304336,0.0023139220850514606,1.0,-0.1255804518818094,-0.006273168847114122,0.006025179831821333,-0.02515720150641313,-0.0012876131208494122,-0.007513766169753911,0.011529447635415982,-0.006922807181639078,-0.008941000631502957,-0.005549092305844673,-0.034470043700968934,-0.008939040556102694,-0.02444882156588271,-0.010418075694223719,-0.004996228892334277,0.01912139445301831,0.029221525644811706,-0.025728097342124567,-0.01685020596368497,-0.002163239950798129,0.012783357293709937
P7,0.11190297089532157,0.0034978142599757693,0.18979573564096233,0.027460655915444058,0.052171246032661975,-0.0060971428812689205,0.007323305520735991,-0.02362837971161444,-0.1255804518818094,1.0,-0.08737273997080855,-0.09132684814254646,0.2945279068719364,0.026627454344625587,0.051338078087291766,-0.10514833004241904,-0.042634019161700676,0.02297272600813697,0.04572451152255448,0.10992350713279082,0.0848456052523319,-0.04351157134171867,0.02584989539548495,0.007985531854656343,0.03771149551734498,0.02449910554623155,-0.020695848206893845,-0.008450499774597798,-0.04181375910998376,0.01935963433550967
E1,-0.06188136046819202,-0.00012176878343160812,-0.16082984327827662,-0.01543563957251242,-0.012045130613042953,0.005794695522958925,-0.0048704809998289,-0.06295538574161612,-0.006273168847114122,-0.08737273997080855,1.0,0.7256841018652616,-0.21099352351955092,-0.0013124108360525776,0.04661968566247025,0.01137950604076041,0.11408342113198054,0.09261083896044964,-0.06680050372868065,0.17686799142393753,-0.08802345117484511,0.4306025043460963,0.06899895755381928,0.0456047525579468,-0.1854843801303239,-0.1144772862604223,0.3992144925918167,0.22787579016523457,0.38201302941527404,-0.07039668270080804
E2,0.015610294437236352,-0.003557876266740439,-0.10549453086576598,-0.009356201600941022,-0.019121432293277747,0.013006517844915357,-0.010748958648840424,-0.03341998048693718,0.006025179831821333,-0.09132684814254646,0.7256841018652616,1.0,-0.23056413929489414,-0.0039816232679999175,0.04118771557395498,0.04484747156434546,0.0408895573017055,0.011876217307484489,-0.003061593512747844,-0.0011787314780889043,-0.0521301537268136,0.0947305015623844,0.029369547563338566,-0.0036519845861613487,-0.0605859896034882,0.0014645528910003304,0.08394608440692548,0.044730791680256746,0.08113253349788022,-0.06139451824662745
E3,-0.08707133622061737,0.002931479416039089,0.15797266565538365,0.024131279998062267,0.06207594918367824,-0.01643689985595406,0.010696469195888887,0.06944357575907718,-0.02515720150641313,0.2945279068719364,-0.21099352351955092,-0.23056413929489414,1.0,0.01604567458207064,-0.12106510585505476,-0.1655770771244214,-0.07535691176528161,0.00022610167770555203,0.016520838772530657,0.035558646497536255,0.011117193668076914,0.015578450826523683,-0.04678554590738727,0.04873639152192078,0.14057812566829345,-0.07956273696597663,0.006128768497939319,0.012401309368457045,0.04266608794823868,0.1155659294609439
E4,-0.050151373433085726,-0.004580320849993519,0.047992220444869935,-0.010573879253362332,0.003528862537237247,0.0005147563606800697,0.0015795110691100094,-0.0027571629065243457,-0.0012876131208494122,0.026627454344625587,-0.0013124108360525776,-0.0039816232679999175,0.01604567458207064,1.0,0.11897358634932463,0.06005724737440297,-0.2029697763290948,-0.11981472533022995,0.15619406156901372,0.0136678057430573,-0.015727247128525846,0.002181327545411342,-0.0022484251625472618,-0.007555815435528356,0.009404789359282299,-0.006332289961073881,-0.004936780801113051,-0.01477902943569751,0.0002641126647147836,-0.0033111290947090565
E5,0.23452409815865108,0.010313559431009558,-0.06745292795870929,-0.006564490112324364,-0.00513962030521994,0.004496238211659377,-0.003085847653519498,-0.020217909990463287,-0.007513766169753911,0.051338078087291766,0.04661968566247025,0.04118771557395498,-0.12106510585505476,0.11897358634932463,1.0,0.01447614517145078,-0.03520237973386015,0.021078417237297715,0.05740119203910929,0.03777800399971986,0.03955985033925955,0.07941254664438603,0.025036118384130893,-0.01625230472769089,-0.1520053352462968,-0.033109047626342855,0.07838252461544828,0.05788442376038408,0.08384084023807403,-0.0046459028340398644
